n_features,n_trees,min_samples_leaf,max_features,criterion,MAE,StdMAE,RMSE,StdRMSE,MaxE,StdMaxE,R2,StdR2,Time,StdTime
5,50,1,0.25,mse,0.15476696699436,0.002848619470411,0.237430859998048,0.005619548986646,3.007128,0.354210385001155,0.768847145926871,0.009135595195125,146.883124017715,10.2906825427258
5,50,1,0.5,mse,0.153780365350532,0.002713561089738,0.237112982186524,0.004845602863575,3.04469066666667,0.256067601685353,0.769329046536616,0.010819705760832,151.94126551946,8.57163404370035
5,50,1,0.75,mse,0.154305774846051,0.002860501989835,0.238340172871964,0.005660500134463,2.97792933333333,0.292463983411443,0.766966692237634,0.011670146953608,155.722376696269,2.79994994152389
5,100,1,0.25,mse,0.153143720528874,0.002165053196284,0.234937020043791,0.004220970849131,3.058502,0.303084941233752,0.773609268459978,0.009584643663344,152.015473016103,2.01913991276923
5,100,1,0.5,mse,0.152820496726008,0.003077881662626,0.235683756347967,0.00535942825705,3.081946,0.330606891817659,0.772143077218028,0.01098492329422,159.216250769297,11.1122219388511
5,100,1,0.75,mse,0.152576256502237,0.002761261976896,0.235677534491364,0.005075529091866,3.05355933333333,0.352185629338973,0.77217929089147,0.010553817538133,150.413027826945,3.43632784049688
15,50,1,0.25,mse,0.137117351757287,0.00105809197593,0.207804843791246,0.003003688690312,2.95086,0.289304557125071,0.822932021935032,0.004904263986435,131.498682196935,2.21413857484761
15,50,1,0.5,mse,0.136118632340968,0.000890188734432,0.207465393146558,0.002364490994105,2.94805466666667,0.322372322920081,0.823515012915472,0.002991402371997,152.669454717636,2.00533644522999
15,50,1,0.75,mse,0.137117635754036,0.000903863671731,0.210012897746884,0.00220741665145,3.00473066666667,0.241444098360032,0.819165342847718,0.003632892110033,177.006593926748,2.43310832933782
15,100,1,0.25,mse,0.136272522597688,0.001156500071594,0.206986402790694,0.003084239019279,2.91663,0.309298669034748,0.824330823705158,0.004455437541641,152.863530604045,1.46450463409577
15,100,1,0.5,mse,0.135188378267882,0.000959170691088,0.206269436043735,0.002588150633616,2.87774533333333,0.342829616512667,0.825531468558047,0.004281789847,197.684082317352,1.77845224282832
15,100,1,0.75,mse,0.136120794408892,0.001359179389921,0.208387401111031,0.003235683157523,2.954538,0.297653148932332,0.821944863404492,0.005501163444072,241.081208451589,3.08468884589108
45,50,1,0.25,mse,0.135762265967983,0.000802714778245,0.20539210768356,0.0025024507744,2.92625466666667,0.303127062244348,0.827018182639227,0.004585095699825,193.769555711746,11.3467369868594
45,50,1,0.5,mse,0.13553956891636,0.00077567081956,0.205982872677813,0.002307012741618,2.93928533333333,0.291289591846709,0.826040105871269,0.004045567890158,250.89029657046,5.44731494625904
45,50,1,0.75,mse,0.13605841308563,0.000652021714705,0.207662721181266,0.002216377843658,2.89565066666667,0.333322140628085,0.823186423216947,0.00324849242518,321.987985944748,5.25161411310739
45,100,1,0.25,mse,0.134752232360107,0.000539335739774,0.20409888664831,0.001486414380372,2.91442666666667,0.314409405513823,0.829220120150962,0.002587781201836,290.748935174942,18.2054301802091
45,100,1,0.5,mse,0.134483648599282,0.000776276689606,0.204558563222192,0.001785925048822,2.922998,0.298183970376231,0.828415344022666,0.003846519692259,458.168352905909,28.1301081669849
45,100,1,0.75,mse,0.134904372543852,0.000644246621546,0.206070533259797,0.001904953244453,2.947612,0.309224238661849,0.825916099351955,0.00206751620754,603.271584113439,40.6889694192571
10,50,1,0.25,mse,0.140627786804594,0.002211770818522,0.214035835718983,0.003653678011964,2.918012,0.345711605960806,0.812177031897285,0.005253638685868,155.168844381968,10.0094735426012
